,Fuel,Driven_kilometers,Num_of_owners,Transmission,Location,Name,Year,Company,Price1
212,Petrol,"32,036 km",1st Owner,MANUAL,DL-8C,Renault Kwid 1.0,2017,Renault,"2,76,999"
213,Petrol,"11,213 km",1st Owner,MANUAL,HR-51,Maruti New Wagon-R,2019,Maruti,"5,05,399"
214,Petrol,"47,870 km",1st Owner,MANUAL,HR-26,Hyundai i10 MAGNA,2010,Hyundai,"2,21,799"
215,Diesel,"43,866 km",1st Owner,MANUAL,HR-26,Nissan Terrano XV,2014,Nissan,"4,85,999"
216,Petrol,"6,623 km",1st Owner,MANUAL,HR-26,Maruti Swift LXI,2020,Maruti,"5,63,299"
217,Petrol,"41,994 km",1st Owner,MANUAL,DL-7C,Hyundai Grand i10,2015,Hyundai,"3,75,000"
218,Petrol,"34,527 km",1st Owner,MANUAL,DL-6C,Maruti Wagon R,2016,Maruti,"3,96,399"
219,Diesel,"27,735 km",1st Owner,MANUAL,DL-2C,Maruti Swift VDI,2015,Maruti,"4,39,499"
220,Petrol,"11,558 km",1st Owner,AUTOMATIC,DL-3C,Maruti Alto LXI,2020,Maruti,"3,56,199"
221,Petrol,"15,538 km",1st Owner,MANUAL,DL-6C,Maruti Swift ZXI,2012,Maruti,"4,50,799"
222,Petrol,"5,78,889 km",1st Owner,AUTOMATIC,DL-1C,Maruti Wagon R,2010,Maruti,"1,91,699"
223,Petrol,"12,870 km",1st Owner,MANUAL,UP-16,Toyota Glanza G,2020,Toyota,"7,51,399"
224,Petrol,"42,232 km",1st Owner,MANUAL,DL-6C,Maruti Alto K10,2015,Maruti,"3,00,099"
225,Petrol,"11,520 km",1st Owner,MANUAL,UP-14,Maruti Alto LXI,2020,Maruti,"3,88,599"
226,Petrol,"13,644 km",1st Owner,MANUAL,DL-2C,Hyundai Grand i10,2017,Hyundai,"5,13,199"
227,Diesel,"30,589 km",1st Owner,MANUAL,DL-6C,Maruti Swift VDI,2012,Maruti,"3,15,899"
228,Petrol,"9,860 km",1st Owner,MANUAL,DL-6C,Maruti Celerio ZXI,2019,Maruti,"4,93,599"
229,Petrol,"32,519 km",1st Owner,MANUAL,DL-6C,Maruti Alto K10,2016,Maruti,"3,07,699"
230,Petrol,"26,243 km",1st Owner,MANUAL,DL-12,Hyundai Grand i10,2017,Hyundai,"4,81,099"
231,Petrol,"28,512 km",1st Owner,MANUAL,DL-3C,Maruti Wagon R,2014,Maruti,"3,58,399"
232,Petrol,"39,239 km",1st Owner,MANUAL,DL-1C,Hyundai Elite i20,2015,Hyundai,"5,16,799"
233,Petrol,"39,323 km",1st Owner,MANUAL,DL-3C,Hyundai Eon ERA,2015,Hyundai,"2,55,000"
234,Petrol,"36,764 km",1st Owner,MANUAL,DL-9C,Maruti Alto K10,2015,Maruti,"2,98,000"
235,Petrol,"44,875 km",1st Owner,MANUAL,HR-26,Hyundai Eon MAGNA,2015,Hyundai,"2,73,499"
236,Petrol,"3,947 km",2nd Owner,AUTOMATIC,DL-6C,Maruti Baleno DELTA,2019,Maruti,"6,63,999"
237,Petrol,"8,967 km",,,DL-1C,Maruti Alto 800,2013,Maruti,"2,42,299"
238,Petrol,"27,417 km",1st Owner,MANUAL,DL-13,Honda Brio 1.2,2012,Honda,"2,99,099"
239,Petrol,"4,482 km",1st Owner,MANUAL,DL-1C,Maruti Swift LXI,2018,Maruti,"5,28,299"
240,Petrol,"6,277 km",,,DL-10,Maruti Ciaz DELTA,2020,Maruti,"8,51,199"
241,Petrol,"22,377 km",,,HR-26,Maruti Baleno ALPHA,2017,Maruti,"6,19,399"
242,Petrol,"25,823 km",,,DL-3C,Maruti Wagon R,2018,Maruti,"4,06,999"
243,Petrol,"24,343 km",,,DL-12,Hyundai Elite i20,2017,Hyundai,"5,33,299"
244,Petrol,"42,431 km",,,DL-12,Hyundai i10 SPORTZ,2014,Hyundai,"2,85,000"
245,Petrol,"25,306 km",,,UP-14,Hyundai Grand i10,2017,Hyundai,"5,07,999"
246,Petrol,"9,975 km",2nd Owner,,DL-12,Hyundai Eon ERA,2015,Hyundai,"2,77,000"
247,Petrol,"32,258 km",1st Owner,,DL-8C,Renault Kwid RXL1.0,2017,Renault,"3,10,599"
248,Petrol,"24,804 km",1st Owner,,DL-10,Hyundai Grand i10,2018,Hyundai,"4,48,399"
249,Petrol,"52,685 km",1st Owner,,DL-5C,Maruti Alto 800,2013,Maruti,"2,23,399"
