,Fuel,Driven_kilometers,Num_of_owners,Transmission,Location,Name,Year,Company,Price1
832,Petrol,"67,962 km",1st Owner,MANUAL,DL-4C,Honda Accord 2.4,2009,Honda,"2,74,000"
833,Diesel,"75,191 km",1st Owner,MANUAL,DL-7C,Honda Amaze 1.5,2013,Honda,"3,25,000"
834,Petrol,"66,285 km",1st Owner,MANUAL,DL-8C,Maruti Swift ZXI,2015,Maruti,"4,52,699"
835,Petrol,"72,176 km",1st Owner,MANUAL,DL-8C,Maruti Swift VXI,2013,Maruti,"3,45,000"
836,Diesel,"44,510 km",1st Owner,MANUAL,HR-51,Hyundai Creta 1.6,2018,Hyundai,"11,98,799"
837,Petrol,"43,829 km",1st Owner,MANUAL,HR-26,Maruti Swift Dzire,2010,Maruti,"2,55,000"
838,Diesel,"83,687 km",1st Owner,MANUAL,HR-29,Volkswagen Polo COMFORTLINE,2012,Volkswagen,"2,44,000"
839,Diesel,"83,687 km",1st Owner,AUTOMATIC,HR-29,Volkswagen Polo COMFORTLINE,2012,Volkswagen,"2,43,000"
840,Diesel,"37,057 km",3rd Owner,MANUAL,DL-1C,Maruti Vitara Brezza,2019,Maruti,"7,89,899"
841,Diesel,"80,697 km",1st Owner,MANUAL,DL-8C,Honda City S,2015,Honda,"5,42,499"
842,Diesel,"46,825 km",1st Owner,MANUAL,HR-51,Maruti Vitara Brezza,2019,Maruti,"8,07,699"
843,Diesel,"94,952 km",1st Owner,MANUAL,DL-8C,Toyota Etios Liva,2012,Toyota,"2,58,799"
844,Diesel,"69,848 km",1st Owner,MANUAL,DL-1C,Maruti Ciaz VDI+,2017,Maruti,"5,58,199"
845,Diesel,"52,097 km",1st Owner,MANUAL,DL-4C,Maruti Dzire ZDI,2018,Maruti,"6,95,399"
846,Petrol,"90,722 km",1st Owner,MANUAL,DL-3C,Maruti Wagon R,2014,Maruti,"2,80,499"
847,Diesel,"59,831 km",,,UP-14,Mahindra Scorpio S10,2016,Mahindra,"10,50,199"
848,Petrol,"65,031 km",2nd Owner,,DL-1C,Hyundai Elite i20,2016,Hyundai,"4,70,000"
849,Petrol,"34,051 km",1st Owner,MANUAL,HR-26,Hyundai Creta 1.6,2018,Hyundai,"11,75,000"
850,Petrol,"1,26,593 km",1st Owner,MANUAL,DL-9C,Maruti Alto K10,2011,Maruti,"1,67,699"
851,Petrol,"58,074 km",1st Owner,MANUAL,CH-01,Maruti Swift VXI,2017,Maruti,"5,57,699"
852,Diesel,"72,772 km",1st Owner,MANUAL,DL-9C,Maruti Swift Dzire,2013,Maruti,"2,89,799"
853,Diesel,"78,339 km",1st Owner,MANUAL,HR-29,Maruti Swift Dzire,2016,Maruti,"5,40,599"
854,Petrol,"83,029 km",1st Owner,MANUAL,DL-1C,Nissan Sunny XL,2012,Nissan,"2,75,000"
855,Petrol,"67,417 km",,,DL-4C,Ford Figo 1.2,2010,Ford,"1,80,000"
856,Diesel,"61,601 km",2nd Owner,MANUAL,DL-8C,Maruti Vitara Brezza,2018,Maruti,"7,29,799"
857,Diesel,"81,751 km",1st Owner,MANUAL,DL-5C,Maruti Ciaz VDI+,2017,Maruti,"6,14,099"
858,Petrol,"79,093 km",,,DL-9C,Maruti Alto LXI,2008,Maruti,"1,41,699"
859,Petrol,"87,194 km",1st Owner,MANUAL,UP-14,Maruti Swift VXI,2014,Maruti,"3,76,199"
860,Petrol,"64,645 km",2nd Owner,MANUAL,DL-9C,Maruti Alto 800,2016,Maruti,"2,84,499"
861,Diesel,"1,09,407 km",2nd Owner,MANUAL,DL-8C,Chevrolet Sail 1.3,2013,Chevrolet,"1,61,000"
862,Diesel,"82,730 km",2nd Owner,AUTOMATIC,DL-2C,Maruti S Cross,2017,Maruti,"7,12,399"
863,Petrol,"69,933 km",1st Owner,AUTOMATIC,DL-3C,Honda Civic 1.8V,2009,Honda,"2,49,000"
864,Diesel,"72,533 km",2nd Owner,MANUAL,DL-2C,Maruti Swift VDI,2015,Maruti,"4,15,999"
865,Diesel,"49,836 km",1st Owner,MANUAL,HR-54,Mahindra Bolero POWER+,2019,Mahindra,"7,07,199"
866,Diesel,"51,732 km",1st Owner,MANUAL,UP-14,Ford Ecosport 1.5,2018,Ford,"6,78,599"
867,Petrol,"68,658 km",1st Owner,MANUAL,DL-10,Honda Jazz 1.2,2016,Honda,"5,13,999"
868,Petrol,"52,819 km",1st Owner,MANUAL,HR-26,Toyota Corolla Altis,2018,Toyota,"15,32,199"
869,Petrol,"88,973 km",2nd Owner,MANUAL,UP-16,Volkswagen Jetta TRENDLINE,2012,Volkswagen,"4,45,399"
870,Diesel,"74,959 km",1st Owner,MANUAL,DL-1C,Jeep Compass 2.0,2017,Jeep,"12,39,999"
871,Diesel,"92,086 km",1st Owner,MANUAL,DL-9C,Maruti Swift VDI,2015,Maruti,"3,98,099"
872,Petrol,"74,730 km",2nd Owner,MANUAL,UP-85,Maruti Alto LXI,2008,Maruti,"1,17,000"
873,Petrol,"20,110 km",1st Owner,MANUAL,DL-8C,Volkswagen Ameo Trendline,2019,Volkswagen,"5,25,000"
874,Petrol,"9,697 km",2nd Owner,AUTOMATIC,DL-9C,Hyundai Creta 1.6,2019,Hyundai,"12,95,000"
875,Petrol,"89,412 km",1st Owner,MANUAL,UP-16,Maruti Swift Dzire,2008,Maruti,"1,79,799"
876,Diesel,"89,795 km",1st Owner,MANUAL,DL-3C,Toyota Corolla Altis,2012,Toyota,"4,24,599"
877,Petrol,"39,242 km",1st Owner,AUTOMATIC,DL-9C,Hyundai Grand i10,2017,Hyundai,"5,75,000"
878,Diesel,"79,248 km",1st Owner,MANUAL,DL-14,Maruti Swift Dzire,2013,Maruti,"3,62,699"
879,Diesel,"89,348 km",1st Owner,MANUAL,HR-03,Toyota Innova Crysta,2017,Toyota,"15,04,999"
880,Petrol,"49,510 km",1st Owner,MANUAL,DL-1C,Hyundai New Elantra,2016,Hyundai,"9,80,699"
881,Petrol,"31,898 km",1st Owner,AUTOMATIC,DL-9C,Renault Kwid RXT,2019,Renault,"3,25,000"
882,Petrol,"59,190 km",1st Owner,MANUAL,UP-16,Hyundai i10 MAGNA,2012,Hyundai,"2,68,000"
883,Diesel,"58,368 km",2nd Owner,MANUAL,HR-26,Hyundai Tucson New,2018,Hyundai,"18,01,899"
884,Petrol,"52,260 km",1st Owner,MANUAL,DL-8C,Hyundai Eon ERA,2015,Hyundai,"2,50,000"
885,Diesel,"72,597 km",1st Owner,MANUAL,DL-12,Maruti Swift VDI,2014,Maruti,"3,52,399"
886,Diesel,"59,212 km",1st Owner,MANUAL,UP-14,Maruti Vitara Brezza,2018,Maruti,"7,24,000"
887,Petrol,"33,655 km",1st Owner,MANUAL,DL-12,Maruti Dzire VXI,2019,Maruti,"6,16,000"
888,Diesel,"18,721 km",1st Owner,MANUAL,UP-14,Ford Ecosport 1.5TITANIUM,2019,Ford,"8,86,499"
889,Petrol,"92,291 km",2nd Owner,,DL-9C,Maruti Ritz VXI,2009,Maruti,"2,06,699"
890,Petrol,"76,057 km",1st Owner,MANUAL,DL-8C,Hyundai Elite i20,2014,Hyundai,"4,94,999"
891,Diesel,"77,823 km",2nd Owner,MANUAL,DL-4C,Maruti Swift Dzire,2013,Maruti,"3,79,799"
892,Petrol,"38,809 km",3rd Owner,MANUAL,DL-7C,Maruti Alto K10,2018,Maruti,"3,60,000"
893,Petrol,"35,892 km",1st Owner,MANUAL,UP-16,Skoda Rapid 1.6,2017,Skoda,"6,25,000"
894,Diesel,"71,488 km",,,DL-2C,Maruti Swift Dzire,2015,Maruti,"4,18,599"
895,Petrol,"68,830 km",,,HR-26,Maruti SX4 ZXI,2010,Maruti,"2,75,000"
896,Diesel,"60,750 km",1st Owner,MANUAL,DL-3C,Tata TIGOR Revotorq,2017,Tata,"4,75,000"
897,Diesel,"83,618 km",1st Owner,MANUAL,HR-26,Hyundai Elite i20,2017,Hyundai,"6,68,999"
898,Petrol,"70,965 km",1st Owner,MANUAL,DL-2C,Maruti Wagon R,2013,Maruti,"2,30,000"
899,Diesel,"67,190 km",1st Owner,MANUAL,DL-9C,Maruti Baleno ALPHA,2016,Maruti,"6,14,199"
900,Diesel,"87,627 km",1st Owner,MANUAL,DL-8C,Maruti Vitara Brezza,2017,Maruti,"6,51,399"
901,Diesel,"80,515 km",1st Owner,MANUAL,HR-26,Maruti Swift Dzire,2015,Maruti,"4,35,000"
902,Diesel,"89,398 km",2nd Owner,MANUAL,HR-26,Maruti Swift Dzire,2012,Maruti,"3,45,799"
903,Petrol,"71,876 km",1st Owner,MANUAL,DL-2C,Maruti Swift VXI,2014,Maruti,"3,90,999"
904,Diesel,"67,015 km",1st Owner,MANUAL,DL-11,Hyundai Elite i20,2017,Hyundai,"5,73,499"
905,Diesel,"63,903 km",1st Owner,MANUAL,HR-51,Mercedes Benz CLA,2016,Mercedes,"17,25,000"
906,Diesel,"79,116 km",2nd Owner,MANUAL,DL-8C,Maruti Swift Dzire,2013,Maruti,"3,58,299"
907,Diesel,"1,08,897 km",1st Owner,,HR-26,Maruti Swift VDI,2012,Maruti,"3,54,699"
908,Petrol,"75,137 km",4th Owner,AUTOMATIC,HR-51,Volkswagen Polo COMFORTLINE,2011,Volkswagen,"2,87,999"
909,Petrol,"71,922 km",1st Owner,MANUAL,HR-51,Maruti Wagon R,2010,Maruti,"2,10,000"
910,Diesel,"83,597 km",1st Owner,MANUAL,DL-1C,Maruti Vitara Brezza,2017,Maruti,"6,62,999"
911,Petrol,"75,225 km",1st Owner,MANUAL,HR-26,Volkswagen Polo HIGHLINE1.2L,2016,Volkswagen,"4,20,000"
912,Diesel,"95,400 km",1st Owner,MANUAL,DL-8C,Maruti Swift VDI,2012,Maruti,"2,96,799"
913,Diesel,"66,356 km",1st Owner,MANUAL,DL-8C,Hyundai Creta 1.4,2018,Hyundai,"8,99,999"
914,Diesel,"25,870 km",1st Owner,MANUAL,HR-26,Toyota Fortuner 2.8,2018,Toyota,"28,44,199"
915,Diesel,"60,070 km",1st Owner,MANUAL,MH-43,Mahindra XUV500 W8,2014,Mahindra,"8,02,099"
916,Diesel,"67,617 km",1st Owner,MANUAL,DL-9C,Maruti Vitara Brezza,2018,Maruti,"6,63,799"
917,Diesel,"76,042 km",1st Owner,MANUAL,DL-12,Maruti Swift VDI,2015,Maruti,"4,26,999"
918,Petrol,"37,785 km",1st Owner,MANUAL,DL-9C,Hyundai Grand i10,2017,Hyundai,"4,65,000"
919,Diesel,"78,175 km",1st Owner,MANUAL,DL-8C,Maruti Swift Dzire,2013,Maruti,"3,40,000"
920,Diesel,"91,630 km",,,DL-1C,Maruti Swift ZDI,2014,Maruti,"4,18,799"
921,Petrol,"55,668 km",1st Owner,MANUAL,DL-8C,Hyundai Creta 1.6,2015,Hyundai,"8,00,000"
922,Diesel,"69,406 km",1st Owner,MANUAL,DL-3C,Honda City S,2014,Honda,"4,60,499"
923,Petrol,"40,192 km",1st Owner,MANUAL,DL-7C,Hyundai Grand i10,2018,Hyundai,"4,78,000"
924,Diesel,"79,052 km",1st Owner,MANUAL,DL-3C,Honda Amaze 1.5,2013,Honda,"2,88,099"
925,Diesel,"55,698 km",1st Owner,MANUAL,DL-9C,Maruti Swift Dzire,2016,Maruti,"4,27,499"
926,Diesel,"76,854 km",1st Owner,MANUAL,DL-4C,Maruti Ritz VDI,2015,Maruti,"3,59,599"
927,Diesel,"83,384 km",1st Owner,MANUAL,DL-3C,Maruti Swift VDI,2014,Maruti,"3,93,199"
928,Diesel,"60,109 km",1st Owner,MANUAL,HR-26,Maruti Vitara Brezza,2018,Maruti,"7,17,299"
929,Diesel,"30,187 km",1st Owner,MANUAL,HR-29,Toyota Innova Crysta,2017,Toyota,"18,25,000"
930,Diesel,"70,637 km",1st Owner,AUTOMATIC,DL-4C,Renault Duster 85,2012,Renault,"4,33,799"
931,Petrol,"55,879 km",1st Owner,MANUAL,DL-9C,Maruti Wagon R,2014,Maruti,"3,00,000"
932,Diesel,"70,372 km",1st Owner,MANUAL,HR-26,Maruti Vitara Brezza,2016,Maruti,"6,42,999"
933,Petrol,"51,789 km",1st Owner,MANUAL,DL-2C,Maruti Swift VXI,2018,Maruti,"5,33,599"
934,Diesel,"91,124 km",1st Owner,MANUAL,HR-36,Maruti Swift ZDI,2014,Maruti,"4,50,799"
935,Petrol,"64,026 km",1st Owner,MANUAL,DL-9C,Maruti Wagon R,2015,Maruti,"3,51,999"
936,Petrol,"35,515 km",1st Owner,MANUAL,DL-8C,Ford Ecosport 1.5,2017,Ford,"8,35,000"
937,Diesel,"79,144 km",1st Owner,MANUAL,HR-29,Maruti Swift VDI,2014,Maruti,"3,65,599"
938,Diesel,"86,910 km",,,DL-7C,Maruti Swift Dzire,2012,Maruti,"3,50,199"
939,Diesel,"96,529 km",2nd Owner,MANUAL,DL-3C,Volkswagen Vento HIGHLINE,2012,Volkswagen,"2,73,099"
940,Diesel,"57,789 km",1st Owner,MANUAL,DL-1C,Maruti Vitara Brezza,2018,Maruti,"6,56,199"
941,Diesel,"88,835 km",1st Owner,MANUAL,DL-1C,Maruti Swift Dzire,2014,Maruti,"3,56,399"
942,Diesel,"50,661 km",1st Owner,MANUAL,HR-26,Maruti Vitara Brezza,2018,Maruti,"7,92,499"
943,Diesel,"54,407 km",1st Owner,MANUAL,DL-10,Mahindra Scorpio S10,2016,Mahindra,"9,69,299"
944,Diesel,"79,421 km",1st Owner,MANUAL,UP-16,Maruti Swift VDI,2015,Maruti,"4,68,099"
945,Petrol,"55,103 km",1st Owner,MANUAL,UP-16,Hyundai Eon MAGNA,2014,Hyundai,"3,00,000"
946,Petrol + CNG,"32,779 km",2nd Owner,MANUAL,DL-4C,Honda City SV,2018,Honda,"8,42,000"
947,Diesel,"96,753 km",1st Owner,MANUAL,DL-3C,Honda Amaze 1.5,2013,Honda,"2,71,499"
948,Diesel,"80,534 km",1st Owner,,HR-29,Maruti Swift VDI,2016,Maruti,"4,33,299"
949,Diesel,"86,622 km",1st Owner,MANUAL,DL-3C,Maruti Swift Dzire,2012,Maruti,"3,56,499"
950,Diesel,"78,423 km",2nd Owner,MANUAL,DL-1C,Ford Ecosport 1.5TITANIUM,2014,Ford,"5,25,000"
951,Diesel,"64,361 km",1st Owner,,HR-26,Maruti S Cross,2017,Maruti,"6,68,799"
952,Diesel,"82,592 km",,,DL-8C,Hyundai Verna FLUIDIC,2014,Hyundai,"4,67,499"
953,Petrol,"84,097 km",1st Owner,MANUAL,HR-51,Maruti Alto LXI,2010,Maruti,"1,53,000"
954,Petrol,"27,192 km",1st Owner,MANUAL,CH-01,KIA SELTOS GTX+,2020,KIA,"15,22,899"
955,Diesel,"55,401 km",1st Owner,MANUAL,DL-8C,Toyota Innova 2.5,2013,Toyota,"7,75,499"
956,Diesel,"64,984 km",3rd Owner,MANUAL,DL-8C,Ford Ecosport 1.5TITANIUM,2014,Ford,"5,50,000"
957,Petrol,"12,610 km",1st Owner,MANUAL,DL-9C,Maruti XL6 ZETA,2019,Maruti,"9,70,000"
958,Petrol,"82,173 km",1st Owner,MANUAL,DL-7C,Hyundai Elite i20,2014,Hyundai,"4,97,199"
959,Diesel,"73,823 km",1st Owner,MANUAL,DL-10,Ford Ecosport 1.5,2017,Ford,"6,81,299"
960,Diesel,"79,275 km",1st Owner,MANUAL,HR-51,Maruti Vitara Brezza,2017,Maruti,"7,23,399"
961,Petrol,"67,564 km",1st Owner,MANUAL,DL-9C,Honda City S,2010,Honda,"4,02,799"
962,Petrol + CNG,"34,554 km",1st Owner,MANUAL,DL-2C,Maruti Eeco 5,2018,Maruti,"4,46,399"
963,Diesel,"1,12,798 km",1st Owner,AUTOMATIC,DL-7C,Hyundai Verna FLUIDIC,2012,Hyundai,"4,14,799"
964,Petrol,"52,247 km",1st Owner,MANUAL,DL-8C,Hyundai Eon ERA,2015,Hyundai,"2,70,000"
965,Diesel,"85,077 km",1st Owner,MANUAL,DL-6C,Maruti Ciaz ZDI+,2016,Maruti,"6,00,799"
966,Diesel,"82,081 km",1st Owner,MANUAL,DL-14,Volkswagen Vento COMFORTLINE,2014,Volkswagen,"3,14,899"
967,Diesel,"83,315 km",1st Owner,MANUAL,DL-8C,Maruti Swift Dzire,2013,Maruti,"3,67,199"
968,Diesel,"70,187 km",1st Owner,MANUAL,DL-14,Maruti Vitara Brezza,2016,Maruti,"5,73,699"
969,Petrol,"70,325 km",2nd Owner,MANUAL,DL-8C,Volkswagen Polo GT,2013,Volkswagen,"4,65,000"
970,Petrol,"22,013 km",1st Owner,MANUAL,DL-12,Hyundai Creta 1.6,2015,Hyundai,"8,52,599"
971,Diesel,"16,070 km",1st Owner,MANUAL,HR-03,Toyota Innova Crysta,2016,Toyota,"17,25,000"
972,Diesel,"26,350 km",1st Owner,AUTOMATIC,DL-1C,Hyundai Creta 1.4,2018,Hyundai,"9,60,000"
973,Diesel,"87,405 km",1st Owner,MANUAL,DL-3C,Honda Amaze 1.5,2013,Honda,"2,68,699"
974,Diesel,"80,246 km",2nd Owner,MANUAL,UP-16,Honda Amaze 1.5,2013,Honda,"3,50,000"
975,Diesel,"78,620 km",2nd Owner,MANUAL,DL-2C,Maruti Swift VDI,2013,Maruti,"3,51,999"
976,Petrol,"17,600 km",3rd Owner,MANUAL,HR-26,Honda Jazz VX,2019,Honda,"8,25,000"
977,Diesel,"67,051 km",1st Owner,MANUAL,DL-8C,Renault Pulse RX,2016,Renault,"4,30,000"
978,Diesel,"65,766 km",1st Owner,MANUAL,DL-8C,Mahindra TUV300 T8,2015,Mahindra,"5,75,000"
979,Diesel,"79,408 km",2nd Owner,MANUAL,DL-1C,Maruti Swift LDI,2015,Maruti,"3,88,299"
980,Petrol,"1,61,419 km",,,HR-26,Maruti Ritz VXI,2010,Maruti,"1,86,599"
981,Diesel,"82,293 km",,,DL-3C,Maruti Swift VDI,2015,Maruti,"3,76,799"
982,Diesel,"87,995 km",1st Owner,MANUAL,DL-7C,Hyundai i20 SPORTZ,2012,Hyundai,"2,44,599"
983,Diesel,"87,914 km",1st Owner,MANUAL,DL-12,Toyota Etios Liva,2012,Toyota,"2,66,799"
984,Diesel,"85,227 km",1st Owner,MANUAL,UP-14,Renault Duster 85,2016,Renault,"5,50,000"
985,Diesel,"1,01,187 km",1st Owner,MANUAL,DL-8C,Maruti Ritz LDI,2012,Maruti,"2,06,299"
986,Diesel,"86,550 km",1st Owner,MANUAL,DL-14,Maruti Swift VDI,2014,Maruti,"3,84,899"
987,Diesel,"70,325 km",2nd Owner,AUTOMATIC,DL-8C,Maruti Ciaz VDI,2015,Maruti,"4,50,000"
988,Diesel,"51,910 km",1st Owner,MANUAL,DL-1C,Renault Scala RXL,2014,Renault,"3,50,000"
989,Diesel,"73,223 km",1st Owner,MANUAL,DL-5C,Hyundai Creta 1.4,2017,Hyundai,"8,00,000"
990,Petrol,"84,232 km",1st Owner,MANUAL,DL-9C,Maruti Swift VXI,2014,Maruti,"4,15,699"
991,Petrol,"52,735 km",1st Owner,MANUAL,HR-51,Hyundai Elite i20,2016,Hyundai,"5,90,000"
992,Petrol,"73,647 km",1st Owner,MANUAL,DL-8C,Nissan Sunny XL,2013,Nissan,"3,70,000"
993,Diesel,"24,027 km",1st Owner,MANUAL,DL-7C,Mahindra XUV500 W6,2018,Mahindra,"10,16,599"
994,Petrol,"50,651 km",1st Owner,MANUAL,DL-2C,Maruti Wagon R,2016,Maruti,"3,80,000"
995,Petrol,"84,061 km",1st Owner,MANUAL,DL-3C,Maruti Zen Estilo,2008,Maruti,"1,07,299"
996,Diesel,"63,165 km",1st Owner,MANUAL,DL-8C,Ford Ecosport 1.5TITANIUM,2013,Ford,"4,52,000"
997,Petrol,"67,198 km",1st Owner,MANUAL,DL-3C,Hyundai Santro Xing,2014,Hyundai,"2,47,000"
998,Petrol,"11,664 km",1st Owner,MANUAL,DL-8C,Tata NEXON XM,2019,Tata,"7,35,000"
999,Petrol + CNG,"49,289 km",1st Owner,MANUAL,DL-5C,Hyundai Grand i10,2017,Hyundai,"4,71,000"
1000,Petrol,"71,504 km",2nd Owner,MANUAL,DL-7C,Hyundai Eon MAGNA,2015,Hyundai,"2,80,799"
1001,Diesel,"82,118 km",1st Owner,AUTOMATIC,HR-26,Maruti Ritz LDI,2014,Maruti,"2,25,000"
1002,Diesel,"54,741 km",,,DL-8C,Maruti Vitara Brezza,2016,Maruti,"7,25,000"
1003,Diesel,"62,284 km",1st Owner,MANUAL,UP-16,Hyundai Verna FLUIDIC,2015,Hyundai,"6,65,099"
1004,Diesel,"73,411 km",1st Owner,MANUAL,DL-9C,Chevrolet Beat LS,2014,Chevrolet,"1,75,000"
1005,Petrol,"1,19,824 km",,,DL-6C,Maruti Ritz VXI,2009,Maruti,"1,80,099"
1006,Diesel,"73,797 km",2nd Owner,MANUAL,HR-72,Mahindra Scorpio S4PLUS,2016,Mahindra,"12,00,000"
1007,Diesel,"53,597 km",1st Owner,AUTOMATIC,HR-26,Mahindra XUV500 W10,2017,Mahindra,"12,51,000"
1008,Diesel,"37,696 km",2nd Owner,AUTOMATIC,HR-29,Maruti Vitara Brezza,2019,Maruti,"8,45,099"
1009,Petrol,"57,314 km",,,HR-26,Ford Ecosport TITANIUM,2018,Ford,"7,95,000"
1010,Diesel,"89,897 km",1st Owner,MANUAL,HR-28,Hyundai Grand i10,2014,Hyundai,"3,01,299"
1011,Petrol,"7,510 km",1st Owner,MANUAL,HR-51,Hyundai VENUE 1.0,2019,Hyundai,"10,20,999"
1012,Diesel,"1,23,729 km",1st Owner,MANUAL,HR-05,Hyundai Grand i10,2014,Hyundai,"2,98,999"
1013,Diesel,"80,187 km",2nd Owner,MANUAL,HR-29,BMW 5 Series,2015,BMW,"20,94,099"
1014,Petrol,"60,784 km",1st Owner,MANUAL,HR-26,Maruti Alto 800,2014,Maruti,"2,78,399"
1015,Diesel,"89,751 km",3rd Owner,MANUAL,DL-4C,Maruti Vitara Brezza,2017,Maruti,"7,45,299"
1016,Petrol,"1,03,858 km",1st Owner,AUTOMATIC,DL-8C,Maruti Swift LXI,2009,Maruti,"1,87,399"
1017,Diesel,"51,569 km",2nd Owner,AUTOMATIC,HR-51,Mahindra Scorpio S10,2016,Mahindra,"9,97,699"
1018,Diesel,"1,04,976 km",2nd Owner,AUTOMATIC,DL-3C,Maruti Swift Dzire,2013,Maruti,"3,31,399"
1019,Diesel,"75,925 km",1st Owner,MANUAL,DL-3C,Maruti Ciaz VDI+,2016,Maruti,"5,15,699"
1020,Petrol,"50,247 km",1st Owner,MANUAL,DL-8C,Maruti Swift VXI,2017,Maruti,"4,59,000"
1021,Diesel,"82,877 km",,,DL-4C,Honda Amaze 1.5,2013,Honda,"2,89,299"
1022,Diesel,"44,347 km",2nd Owner,,PB-26,Hyundai New Elantra,2018,Hyundai,"14,01,299"
1023,Petrol,"98,433 km",1st Owner,AUTOMATIC,DL-4C,Honda City S,2012,Honda,"4,08,199"
1024,Petrol,"64,504 km",,,HR-51,Skoda Rapid ELEGANCE,2014,Skoda,"4,75,000"
1025,Petrol,"63,401 km",1st Owner,MANUAL,DL-10,Volkswagen Polo COMFORTLINE,2016,Volkswagen,"4,60,000"
1026,Diesel,"43,540 km",1st Owner,MANUAL,HR-51,Hyundai Creta 1.6,2016,Hyundai,"9,40,999"
1027,Petrol,"1,31,982 km",1st Owner,,DL-3C,Maruti Swift VXI,2009,Maruti,"2,49,899"
1028,Diesel,"54,977 km",1st Owner,MANUAL,UP-16,Maruti Dzire ZDI,2017,Maruti,"7,70,000"
1029,Diesel,"55,407 km",1st Owner,MANUAL,DL-5C,Maruti Ciaz VDI,2017,Maruti,"6,25,000"
1030,Diesel,"81,239 km",,,DL-2C,Maruti Swift VDI,2013,Maruti,"3,60,199"
1031,Petrol,"98,229 km",3rd Owner,,DL-4C,Toyota Corolla H3,2007,Toyota,"1,23,499"
1032,Diesel,"74,523 km",1st Owner,MANUAL,DL-7C,Audi A3 35TDI,2015,Audi,"13,19,499"
1033,Diesel,"74,320 km",1st Owner,MANUAL,DL-3C,Maruti Ertiga VDI,2012,Maruti,"4,64,899"
1034,Petrol,"41,263 km",2nd Owner,,DL-5C,Maruti Wagon R,2018,Maruti,"4,12,000"
1035,Petrol,"99,372 km",1st Owner,MANUAL,DL-8C,Hyundai Elite i20,2016,Hyundai,"4,72,599"
1036,Petrol,"99,868 km",2nd Owner,MANUAL,DL-3C,Toyota Corolla Altis,2009,Toyota,"2,76,999"
1037,Diesel,"76,604 km",2nd Owner,MANUAL,DL-7C,Maruti Swift Dzire,2015,Maruti,"4,78,799"
1038,Diesel,"95,231 km",1st Owner,MANUAL,HR-51,Maruti Vitara Brezza,2016,Maruti,"6,49,899"
1039,Diesel,"59,935 km",1st Owner,MANUAL,DL-9C,Mahindra XUV500 W10,2017,Mahindra,"11,05,000"
1040,Diesel,"79,123 km",1st Owner,MANUAL,HR-29,Toyota Etios CROSS,2015,Toyota,"4,15,699"
1041,Diesel,"87,852 km",1st Owner,MANUAL,DL-5C,Maruti Swift Dzire,2015,Maruti,"3,69,299"
1042,Diesel,"92,650 km",2nd Owner,MANUAL,HR-76,Hyundai i20 SPORTZ,2013,Hyundai,"3,19,000"
1043,Diesel,"71,828 km",1st Owner,MANUAL,DL-2C,Hyundai Elite i20,2015,Hyundai,"5,02,499"
1044,Diesel,"97,973 km",2nd Owner,,HR-26,Maruti Swift Dzire,2012,Maruti,"3,28,399"
1045,Diesel,"86,072 km",2nd Owner,MANUAL,DL-12,Maruti Swift VDI,2015,Maruti,"4,16,699"
1046,Petrol,"86,042 km",2nd Owner,MANUAL,DL-4C,Honda CRV 2.4,2007,Honda,"3,10,000"
1047,Diesel,"95,697 km",1st Owner,MANUAL,DL-3C,Honda Amaze 1.5,2014,Honda,"3,14,199"
1048,Diesel,"73,484 km",1st Owner,MANUAL,DL-3C,Maruti Celerio VDI,2015,Maruti,"2,53,599"
1049,Diesel,"84,729 km",1st Owner,,DL-2C,Maruti Swift VDI,2013,Maruti,"3,44,699"
1050,Diesel,"57,851 km",1st Owner,MANUAL,HR-90,Maruti Swift Dzire,2016,Maruti,"5,55,399"
1051,Petrol + CNG,"83,504 km",2nd Owner,MANUAL,DL-9C,Maruti SX4 ZXI,2010,Maruti,"2,09,000"
1052,Diesel,"85,203 km",1st Owner,MANUAL,DL-4C,Hyundai Grand i10,2014,Hyundai,"2,57,699"
1053,Petrol,"86,514 km",1st Owner,MANUAL,DL-7C,Hyundai Grand i10,2016,Hyundai,"4,24,199"
1054,Petrol,"58,463 km",2nd Owner,MANUAL,HR-26,Hyundai i10 SPORTZ,2015,Hyundai,"3,35,000"
1055,Diesel,"42,165 km",2nd Owner,MANUAL,DL-4C,Maruti Ciaz SHVS,2016,Maruti,"6,25,000"
1056,Diesel,"95,613 km",1st Owner,MANUAL,DL-9C,Maruti Swift VDI,2012,Maruti,"3,05,599"
1057,Diesel,"83,404 km",2nd Owner,MANUAL,DL-12,Hyundai Creta 1.4,2017,Hyundai,"7,88,099"
1058,Diesel,"87,266 km",1st Owner,MANUAL,DL-8C,Maruti Swift VDI,2013,Maruti,"3,37,999"
1059,Petrol,"93,504 km",1st Owner,MANUAL,DL-4C,Honda Jazz 1.2,2012,Honda,"3,28,599"
1060,Diesel,"61,211 km",1st Owner,MANUAL,DL-4C,Maruti Ciaz ZDI,2015,Maruti,"5,72,699"
1061,Diesel,"72,364 km",1st Owner,MANUAL,DL-9C,Maruti Vitara Brezza,2016,Maruti,"6,59,699"
1062,Petrol,"36,307 km",1st Owner,MANUAL,DL-8C,Ford Ecosport 1.5,2019,Ford,"8,75,000"
1063,Diesel,"88,666 km",1st Owner,MANUAL,UP-16,Hyundai i20 ASTA,2014,Hyundai,"4,05,699"
